Year,Population,CrimeRate,PropertyCrime
1960,2853214,56.6,0
1961,2902000,58.1,0
1962,3006000,63.6,0
1963,3050000,66.7,0
1964,2984000,92.5,0
1965,2990000,103,0
1966,2980000,123.3,0
1967,3087000,154,0
1968,3276000,212.8,0
1969,3402000,242.3,0
1970,3409169,221.3,0
1971,3449000,236.4,0
1972,3443000,250.6,0
1973,3429000,271.5,0
1974,3476000,346.3,0
1975,3544000,390.8,0
1976,3612000,388.6,0
1977,3658000,374.9,0
1978,3774000,405.3,0
1979,3926000,434.6,0
1980,4113331,464.3,0
1981,4212000,447.3,0
1982,4245000,406.4,0
1983,4300000,371.8,0
1984,4349000,406.4,0
1985,4409000,425.4,0
1986,4463000,437,0
1987,4538000,439.5,0
1988,4619000,466.4,0
1989,4761000,471.7,0
1990,4866692,501.6,0
1991,5018000,522.6,0
1992,5136000,534.5,0
1993,5255000,514.6,0
1994,5343000,511.3,0
1995,5431000,484.3,0
1996,5533000,431.2,0
1997,5610000,440.7,0
1998,5689000,428.5,0
1999,5756361,377.3,0
2000,5894121,369.7,0
2001,5993390,354.7,0
2002,6067060,345.5,0
2003,6131298,346.9,0
2004,6207046,343.6,0
2005,6291899,346,0
2006,6395798,348.7,0
2007,6468424,336.5,0
2008,6549224,334.2,0
2009,6664195,336.3,0
2010,6742950,313.5,0
2011,6823267,295.3,0
2012,6895318,298.1,0
2013,6973742,290,0
2014,7061530,285.2,0
1960,2853214,2175.5,1
1961,2902000,2173.2,1
1962,3006000,2270.1,1
1963,3050000,2329.5,1
1964,2984000,2636.6,1
1965,2990000,2618.3,1
1966,2980000,2976,1
1967,3087000,3582.7,1
1968,3276000,3752.2,1
1969,3402000,4393.5,1
1970,3409169,4659.7,1
1971,3449000,4649.4,1
1972,3443000,4452.7,1
1973,3429000,4818.5,1
1974,3476000,5662.8,1
1975,3544000,5750.1,1
1976,3612000,5405.4,1
1977,3658000,5352.8,1
1978,3774000,5710.3,1
1979,3926000,6094.9,1
1980,4113331,6450.7,1
1981,4212000,6294.8,1
1982,4245000,5875.8,1
1983,4300000,5706,1
1984,4349000,5695.3,1
1985,4409000,6103.4,1
1986,4463000,6442.6,1
1987,4538000,6577.6,1
1988,4619000,6646.6,1
1989,4761000,6122.1,1
1990,4866692,5721.3,1
1991,5018000,5781.5,1
1992,5136000,5638.3,1
1993,5255000,5437.7,1
1994,5343000,5516.3,1
1995,5431000,5785.5,1
1996,5533000,5478.2,1
1997,5610000,5485.6,1
1998,5689000,5438.9,1
1999,5756361,4878,1
2000,5894121,4736,1
2001,5993390,4792.5,1
2002,6067060,4762.9,1
2003,6131298,4755,1
2004,6207046,4846.7,1
2005,6291899,4890,1
2006,6395798,4510.1,1
2007,6468424,4047,1
2008,6549224,3806.3,1
2009,6664195,3679.6,1
2010,6742950,3699.1,1
2011,6823267,3579.1,1
2012,6895318,3689.1,1
2013,6973742,3715.9,1
2014,7061530,3706.1,1